id	category_code	category_name	brand_name	bar_code	name	unit	packing_unit	packing_specification	suggested_retail_price	supply_price	cost_price	supplier_name	valid_period	portrait	unit_specification
3519	0807	饼干	竹叶堂	4714221130076	竹叶堂	盒	箱	24	13	0	0		300		210g/盒
3520	0807	饼干	竹叶堂	4714221130748	竹叶堂	盒	箱	24	13	0	0		300		210g/盒
3521	0807	饼干	竹叶堂	4714221130786	竹叶堂	盒	箱	24	13	0	0		300		210g/盒
3522	0808	面包糕点	竹叶堂	4714221134548	竹叶堂	盒	箱	15	25	0	0		300		250g/盒
3523	0808	面包糕点	竹叶堂	4714221130588	竹叶堂	盒	箱	15	25	0	0		300		250g/盒
3524	0808	面包糕点	竹叶堂	4714221130618	竹叶堂	盒	箱	15	25	0	0		300		250g/盒
3525	0808	面包糕点	竹叶堂	4714221130687	竹叶堂	盒	箱	15	25	0	0		300		250g/盒
3526	0808	面包糕点	竹叶堂	4714221138577	竹叶堂	盒	箱	24	17	0	0		300		200g/盒
3527	0808	面包糕点	竹叶堂	4714221138676	竹叶堂	盒	箱	24	17	0	0		300		200g/盒
3528	0808	面包糕点	竹叶堂	4714221130892	竹叶堂	条	箱	24	9	0	0		300		180g/条
3529	0808	面包糕点	竹叶堂	4714221130885	竹叶堂	条	箱	24	9	0	0		300		180g/条
3530	0808	面包糕点	竹叶堂	4714221130861	竹叶堂	条	箱	24	9	0	0		300		180g/条
3531	0808	面包糕点	竹叶堂	4714221130878	竹叶堂	条	箱	24	9	0	0		300		180g/条
3532	0808	面包糕点	竹叶堂	4714221130908	竹叶堂	条	箱	24	9	0	0		300		180g/条
3533	0808	面包糕点	竹叶堂	4714221130946	竹叶堂	条	箱	24	9	0	0		300		180g/条
3534	0808	面包糕点	竹叶堂	4714221133299	竹叶堂	盒	箱	24	17	0	0		0		192g/盒
3535	0808	面包糕点	竹叶堂	4714221133206	竹叶堂	盒	箱	24	17	0	0		0		192g/盒
3536	0808	面包糕点	竹叶堂	4714221133459	竹叶堂	盒	箱	24	17	0	0		0		192g/盒
3537	0808	面包糕点	竹叶堂	4714221134289	竹叶堂	盒	箱	20	13	0	0		300		180g/盒
3538	0808	面包糕点	竹叶堂	4714221134159	竹叶堂	盒	箱	20	13	0	0		300		180g/盒
3539	0808	面包糕点	竹叶堂	4714221134258	竹叶堂	盒	箱	20	13	0	0		300		180g/盒
3540	0809	果冻	竹叶堂	4714221131189	竹叶堂	盒	箱	30	13	0	0		0		200g/盒
